issue_number,fix_commit_sha,changed_file,parent_commit_sha,note
43682,3ef8c565f3eb677d5dd93bedfe43627f5a9040d8,model/infinispan/src/main/java/org/keycloak/models/sessions/infinispan/changes/JpaChangesPerformer.java,a04d5d7b5e4dadef2c033018d77b05a3de1826b7,SZZ-lite file-level parent mapping only
43682,3ef8c565f3eb677d5dd93bedfe43627f5a9040d8,testsuite/integration-arquillian/tests/base/src/test/java/org/keycloak/testsuite/federation/ldap/LDAPAdminRestApiTest.java,a04d5d7b5e4dadef2c033018d77b05a3de1826b7,SZZ-lite file-level parent mapping only
43682,3ef8c565f3eb677d5dd93bedfe43627f5a9040d8,testsuite/integration-arquillian/tests/base/src/test/java/org/keycloak/testsuite/federation/ldap/LDAPProvidersIntegrationTest.java,a04d5d7b5e4dadef2c033018d77b05a3de1826b7,SZZ-lite file-level parent mapping only
43682,3ef8c565f3eb677d5dd93bedfe43627f5a9040d8,testsuite/integration-arquillian/tests/base/src/test/java/org/keycloak/testsuite/model/UserSessionProviderTest.java,a04d5d7b5e4dadef2c033018d77b05a3de1826b7,SZZ-lite file-level parent mapping only
43682,3ef8c565f3eb677d5dd93bedfe43627f5a9040d8,testsuite/model/src/test/java/org/keycloak/testsuite/model/session/UserSessionPersisterProviderTest.java,a04d5d7b5e4dadef2c033018d77b05a3de1826b7,SZZ-lite file-level parent mapping only
43682,3ef8c565f3eb677d5dd93bedfe43627f5a9040d8,testsuite/model/src/test/java/org/keycloak/testsuite/model/session/UserSessionProviderModelTest.java,a04d5d7b5e4dadef2c033018d77b05a3de1826b7,SZZ-lite file-level parent mapping only
43682,3ef8c565f3eb677d5dd93bedfe43627f5a9040d8,testsuite/model/src/test/java/org/keycloak/testsuite/model/session/UserSessionProviderOfflineModelTest.java,a04d5d7b5e4dadef2c033018d77b05a3de1826b7,SZZ-lite file-level parent mapping only
44010,c67b6bc007306fce3281b7cb30f072277299ee4c,js/apps/admin-ui/src/realm-settings/user-profile/AttributesTab.tsx,d8f1476d7b9d9ca8bcf41add9c7c58f612d65b62,SZZ-lite file-level parent mapping only
43933,80895d7fb448055d61886d9b347b40cfc76f60da,model/infinispan/src/main/java/org/keycloak/connections/infinispan/TopologyInfo.java,c67b6bc007306fce3281b7cb30f072277299ee4c,SZZ-lite file-level parent mapping only
43933,80895d7fb448055d61886d9b347b40cfc76f60da,model/infinispan/src/main/java/org/keycloak/models/sessions/infinispan/InfinispanStickySessionEncoderProvider.java,c67b6bc007306fce3281b7cb30f072277299ee4c,SZZ-lite file-level parent mapping only
43933,80895d7fb448055d61886d9b347b40cfc76f60da,model/infinispan/src/main/java/org/keycloak/models/sessions/infinispan/InfinispanStickySessionEncoderProviderFactory.java,c67b6bc007306fce3281b7cb30f072277299ee4c,SZZ-lite file-level parent mapping only
43933,80895d7fb448055d61886d9b347b40cfc76f60da,model/infinispan/src/main/java/org/keycloak/models/sessions/infinispan/remote/RemoteStickySessionEncoderProviderFactory.java,c67b6bc007306fce3281b7cb30f072277299ee4c,SZZ-lite file-level parent mapping only
43933,80895d7fb448055d61886d9b347b40cfc76f60da,server-spi-private/src/main/java/org/keycloak/sessions/StickySessionEncoderProvider.java,c67b6bc007306fce3281b7cb30f072277299ee4c,SZZ-lite file-level parent mapping only
43933,80895d7fb448055d61886d9b347b40cfc76f60da,services/src/main/java/org/keycloak/services/managers/AuthenticationSessionManager.java,c67b6bc007306fce3281b7cb30f072277299ee4c,SZZ-lite file-level parent mapping only
43933,80895d7fb448055d61886d9b347b40cfc76f60da,testsuite/integration-arquillian/tests/base/src/test/java/org/keycloak/testsuite/cluster/AuthenticationSessionClusterTest.java,c67b6bc007306fce3281b7cb30f072277299ee4c,SZZ-lite file-level parent mapping only
44056,b07e2b86660bdd812dd048d40e5a07c58cc4b1cf,js/apps/admin-ui/src/clients/authorization/ResourcesPolicySelect.tsx,d8275fe5df94c436b176b2ad58f897b7e993a8fa,SZZ-lite file-level parent mapping only
44056,b07e2b86660bdd812dd048d40e5a07c58cc4b1cf,js/apps/admin-ui/src/clients/authorization/policy/PolicyDetails.tsx,d8275fe5df94c436b176b2ad58f897b7e993a8fa,SZZ-lite file-level parent mapping only
44056,b07e2b86660bdd812dd048d40e5a07c58cc4b1cf,js/apps/admin-ui/src/permissions-configuration/permission-configuration/AssignedPolicies.tsx,d8275fe5df94c436b176b2ad58f897b7e993a8fa,SZZ-lite file-level parent mapping only
44056,b07e2b86660bdd812dd048d40e5a07c58cc4b1cf,js/libs/keycloak-admin-client/src/resources/clients.ts,d8275fe5df94c436b176b2ad58f897b7e993a8fa,SZZ-lite file-level parent mapping only
