tag_name,release_name,published_at,target_commitish,html_url,draft,prerelease
v7.0.6,v7.0.6,2020-07-09T10:02:39Z,master,https://github.com/grafana/grafana/releases/tag/v7.0.6,False,False
v7.1.0-beta2,v7.1.0-beta2,2020-07-02T13:23:03Z,master,https://github.com/grafana/grafana/releases/tag/v7.1.0-beta2,False,True
v7.1.0-beta1,,2020-07-01T12:44:48Z,master,https://github.com/grafana/grafana/releases/tag/v7.1.0-beta1,False,True
v7.0.5,v7.0.5,2020-06-30T15:09:27Z,master,https://github.com/grafana/grafana/releases/tag/v7.0.5,False,False
v7.0.4,v7.0.4 (2020-06-25),2020-06-25T10:30:07Z,master,https://github.com/grafana/grafana/releases/tag/v7.0.4,False,False
v7.0.3,v7.0.3 (2020-06-03),2020-06-03T17:12:43Z,master,https://github.com/grafana/grafana/releases/tag/v7.0.3,False,False
v7.0.2,v7.0.2 (2020-06-03),2020-06-03T13:53:14Z,master,https://github.com/grafana/grafana/releases/tag/v7.0.2,False,False
v6.7.4,v6.7.4 (2020-06-03),2020-06-03T13:51:20Z,master,https://github.com/grafana/grafana/releases/tag/v6.7.4,False,False
v7.0.1,v7.0.1 (2020-05-26),2020-05-26T12:31:53Z,master,https://github.com/grafana/grafana/releases/tag/v7.0.1,False,False
v7.0.0,v7.0.0,2020-05-18T16:24:51Z,master,https://github.com/grafana/grafana/releases/tag/v7.0.0,False,False
v7.0.0-beta3,v7.0.0-beta3 (2020-05-08),2020-05-08T09:48:29Z,master,https://github.com/grafana/grafana/releases/tag/v7.0.0-beta3,False,True
v7.0.0-beta2,v7.0.0-beta2 (2020-05-07),2020-05-07T16:11:08Z,master,https://github.com/grafana/grafana/releases/tag/v7.0.0-beta2,False,True
v7.0.0-beta1,v7.0.0-beta1 (2020-04-28),2020-04-29T08:12:17Z,master,https://github.com/grafana/grafana/releases/tag/v7.0.0-beta1,False,True
v6.7.3,v6.7.3 (2020-04-23),2020-04-23T15:41:13Z,master,https://github.com/grafana/grafana/releases/tag/v6.7.3,False,False
v6.7.2,v6.7.2,2020-04-02T09:30:57Z,master,https://github.com/grafana/grafana/releases/tag/v6.7.2,False,False
v6.7.1,v6.7.1,2020-03-20T16:16:10Z,master,https://github.com/grafana/grafana/releases/tag/v6.7.1,False,False
v6.7.0,v6.7.0 (2020-03-19),2020-03-19T15:33:52Z,master,https://github.com/grafana/grafana/releases/tag/v6.7.0,False,False
v6.7.0-beta1,v6.7.0-beta1 (2020-03-12),2020-03-12T13:58:37Z,master,https://github.com/grafana/grafana/releases/tag/v6.7.0-beta1,False,True
v6.6.2,v6.6.2 (2020-02-20),2020-02-20T15:53:21Z,master,https://github.com/grafana/grafana/releases/tag/v6.6.2,False,False
v6.6.1,v6.6.1 (2020-02-06),2020-02-06T12:52:00Z,master,https://github.com/grafana/grafana/releases/tag/v6.6.1,False,False
v6.6.0,v6.6.0,2020-01-27T14:10:00Z,master,https://github.com/grafana/grafana/releases/tag/v6.6.0,False,False
v6.6.0-beta1,v6.6.0-beta1,2020-01-20T15:36:42Z,master,https://github.com/grafana/grafana/releases/tag/v6.6.0-beta1,False,True
v6.5.3,v6.5.3,2020-01-15T13:57:05Z,master,https://github.com/grafana/grafana/releases/tag/v6.5.3,False,False
v6.5.2,v6.5.2 (2019-12-11),2019-12-11T14:20:05Z,master,https://github.com/grafana/grafana/releases/tag/v6.5.2,False,False
v6.5.1,v6.5.1 (2019-11-28),2019-11-28T09:54:57Z,master,https://github.com/grafana/grafana/releases/tag/v6.5.1,False,False
v6.5.0,v6.5.0 (2019-11-25),2019-11-25T14:21:42Z,master,https://github.com/grafana/grafana/releases/tag/v6.5.0,False,False
v6.4.5,v6.4.5 (2019-11-25),2019-11-25T11:32:28Z,master,https://github.com/grafana/grafana/releases/tag/v6.4.5,False,False
v6.3.7,v6.3.7 (2019-11-22),2019-11-25T11:32:20Z,master,https://github.com/grafana/grafana/releases/tag/v6.3.7,False,False
v6.5.0-beta1,v6.5.0-beta1 (2019-11-14),2019-11-14T16:26:56Z,master,https://github.com/grafana/grafana/releases/tag/v6.5.0-beta1,False,True
v6.4.4,v6.4.4,2019-11-06T17:00:55Z,master,https://github.com/grafana/grafana/releases/tag/v6.4.4,False,False
v6.4.3,v6.4.3,2019-10-16T14:38:55Z,master,https://github.com/grafana/grafana/releases/tag/v6.4.3,False,False
v6.4.2,v6.4.2,2019-10-08T10:18:28Z,master,https://github.com/grafana/grafana/releases/tag/v6.4.2,False,False
v6.4.1,v6.4.1,2019-10-02T07:46:11Z,master,https://github.com/grafana/grafana/releases/tag/v6.4.1,False,False
v6.4.0,v6.4.0 (2019-10-01),2019-10-01T11:56:56Z,master,https://github.com/grafana/grafana/releases/tag/v6.4.0,False,False
v6.4.0-beta2,v6.4.0-beta2,2019-09-25T11:20:25Z,master,https://github.com/grafana/grafana/releases/tag/v6.4.0-beta2,False,True
v6.3.6,v6.3.6 (2019-09-23),2019-09-23T10:58:12Z,master,https://github.com/grafana/grafana/releases/tag/v6.3.6,False,False
v6.4.0-beta1,v6.4.0-beta1 (2019-09-17),2019-09-17T13:16:12Z,master,https://github.com/grafana/grafana/releases/tag/v6.4.0-beta1,False,True
v6.3.5,v6.3.5,2019-09-02T10:23:58Z,master,https://github.com/grafana/grafana/releases/tag/v6.3.5,False,False
v6.3.4,v6.3.4,2019-08-29T15:27:56Z,master,https://github.com/grafana/grafana/releases/tag/v6.3.4,False,False
v5.4.5,v5.4.5,2019-08-29T15:27:49Z,master,https://github.com/grafana/grafana/releases/tag/v5.4.5,False,False
v6.3.3,v6.3.3,2019-08-15T10:41:01Z,master,https://github.com/grafana/grafana/releases/tag/v6.3.3,False,False
v6.3.2,v6.3.2,2019-08-07T10:54:20Z,master,https://github.com/grafana/grafana/releases/tag/v6.3.2,False,False
v6.3.1,v6.3.1,2019-08-07T10:53:40Z,master,https://github.com/grafana/grafana/releases/tag/v6.3.1,False,False
v6.3.0,v6.3.0,2019-08-06T14:32:05Z,master,https://github.com/grafana/grafana/releases/tag/v6.3.0,False,False
v6.3.0-beta4,v6.3.0-beta4,2019-08-02T13:38:19Z,master,https://github.com/grafana/grafana/releases/tag/v6.3.0-beta4,False,True
v6.3.0-beta2,v6.3.0-beta2,2019-07-26T15:47:05Z,master,https://github.com/grafana/grafana/releases/tag/v6.3.0-beta2,False,True
v6.3.0-beta1,v6.3.0-beta1,2019-07-10T16:22:26Z,master,https://github.com/grafana/grafana/releases/tag/v6.3.0-beta1,False,True
v6.2.5,v6.2.5,2019-06-25T19:06:14Z,master,https://github.com/grafana/grafana/releases/tag/v6.2.5,False,False
v6.2.4,v6.2.4,2019-06-18T11:36:22Z,master,https://github.com/grafana/grafana/releases/tag/v6.2.4,False,False
v6.2.3,v6.2.3,2019-06-17T13:25:48Z,master,https://github.com/grafana/grafana/releases/tag/v6.2.3,False,False
v6.2.2,v6.2.2,2019-06-05T14:52:43Z,master,https://github.com/grafana/grafana/releases/tag/v6.2.2,False,False
v6.2.1,v6.2.1,2019-05-27T13:42:20Z,master,https://github.com/grafana/grafana/releases/tag/v6.2.1,False,False
v6.2.0,v6.2.0,2019-05-22T11:45:10Z,master,https://github.com/grafana/grafana/releases/tag/v6.2.0,False,False
v6.2.0-beta2,v6.2.0-beta2,2019-05-15T11:58:10Z,master,https://github.com/grafana/grafana/releases/tag/v6.2.0-beta2,False,False
v6.2.0-beta1,v6.2.0-beta1,2019-05-07T15:14:18Z,master,https://github.com/grafana/grafana/releases/tag/v6.2.0-beta1,False,True
v6.1.6,v6.1.6,2019-04-29T13:56:39Z,master,https://github.com/grafana/grafana/releases/tag/v6.1.6,False,False
v6.1.4,v6.1.4,2019-04-16T12:36:39Z,master,https://github.com/grafana/grafana/releases/tag/v6.1.4,False,False
v6.1.3,v6.1.3,2019-04-09T18:38:09Z,master,https://github.com/grafana/grafana/releases/tag/v6.1.3,False,False
v6.1.2,v6.1.2,2019-04-08T09:57:24Z,master,https://github.com/grafana/grafana/releases/tag/v6.1.2,False,False
v6.1.1,v6.1.1,2019-04-05T10:45:44Z,master,https://github.com/grafana/grafana/releases/tag/v6.1.1,False,False
v6.1.0,v6.1.0 ,2019-04-03T09:13:02Z,master,https://github.com/grafana/grafana/releases/tag/v6.1.0,False,False
v6.1.0-beta1,v6.1.0-beta1,2019-03-27T12:43:16Z,master,https://github.com/grafana/grafana/releases/tag/v6.1.0-beta1,False,True
v6.0.2,v6.0.2,2019-03-19T14:07:54Z,master,https://github.com/grafana/grafana/releases/tag/v6.0.2,False,False
v6.0.1,v6.0.1,2019-03-06T15:04:28Z,master,https://github.com/grafana/grafana/releases/tag/v6.0.1,False,False
v6.0.0,v6.0.0,2019-02-25T15:48:44Z,master,https://github.com/grafana/grafana/releases/tag/v6.0.0,False,False
v6.0.0-beta3,v6.0.0-beta3,2019-02-19T12:30:03Z,master,https://github.com/grafana/grafana/releases/tag/v6.0.0-beta3,False,True
v6.0.0-beta2,v6.0.0-beta2,2019-02-11T16:44:06Z,master,https://github.com/grafana/grafana/releases/tag/v6.0.0-beta2,False,True
v6.0.0-beta1,v6.0.0-beta1,2019-01-30T16:46:11Z,master,https://github.com/grafana/grafana/releases/tag/v6.0.0-beta1,False,True
v5.4.3,v5.4.3,2019-01-15T09:56:16Z,master,https://github.com/grafana/grafana/releases/tag/v5.4.3,False,False
v5.4.2,v5.4.2,2018-12-13T13:36:06Z,master,https://github.com/grafana/grafana/releases/tag/v5.4.2,False,False
v5.4.1,v5.4.1,2018-12-10T14:44:17Z,master,https://github.com/grafana/grafana/releases/tag/v5.4.1,False,False
v5.4.0,v5.4.0,2018-12-03T11:12:30Z,master,https://github.com/grafana/grafana/releases/tag/v5.4.0,False,False
v5.4.0-beta1,v5.4.0-beta1,2018-11-20T15:05:02Z,master,https://github.com/grafana/grafana/releases/tag/v5.4.0-beta1,False,True
v5.3.4,v5.3.4,2018-11-13T13:03:56Z,master,https://github.com/grafana/grafana/releases/tag/v5.3.4,False,False
v5.3.3,v5.3.3,2018-11-13T13:03:13Z,master,https://github.com/grafana/grafana/releases/tag/v5.3.3,False,False
v5.3.2,v5.3.2,2018-10-24T12:34:57Z,master,https://github.com/grafana/grafana/releases/tag/v5.3.2,False,False
v5.3.1,v5.3.1,2018-10-16T12:52:17Z,master,https://github.com/grafana/grafana/releases/tag/v5.3.1,False,False
v5.3.0,v5.3.0,2018-10-10T11:05:56Z,v5.3.x,https://github.com/grafana/grafana/releases/tag/v5.3.0,False,False
v5.3.0-beta3,v5.3.0-beta3,2018-10-03T14:44:12Z,master,https://github.com/grafana/grafana/releases/tag/v5.3.0-beta3,False,True
v5.3.0-beta2,v5.3.0-beta2,2018-10-01T12:26:50Z,master,https://github.com/grafana/grafana/releases/tag/v5.3.0-beta2,False,True
v5.2.4,v5.2.4,2018-09-07T15:29:30Z,master,https://github.com/grafana/grafana/releases/tag/v5.2.4,False,False
v5.3.0-beta1,v5.3.0-beta1,2018-09-06T13:47:09Z,master,https://github.com/grafana/grafana/releases/tag/v5.3.0-beta1,False,True
v4.6.4,v4.6.4,2018-08-29T11:27:48Z,master,https://github.com/grafana/grafana/releases/tag/v4.6.4,False,False
v5.2.3,v5.2.3,2018-08-29T11:28:39Z,master,https://github.com/grafana/grafana/releases/tag/v5.2.3,False,False
v5.2.2,v5.2.2,2018-07-25T12:03:09Z,main,https://github.com/grafana/grafana/releases/tag/v5.2.2,False,False
v5.2.1,v5.2.1,2018-06-29T10:05:20Z,main,https://github.com/grafana/grafana/releases/tag/v5.2.1,False,False
v5.2.0,v5.2.0,2018-06-27T09:42:28Z,main,https://github.com/grafana/grafana/releases/tag/v5.2.0,False,False
v5.1.5,v5.1.5,2018-06-28T09:02:09Z,main,https://github.com/grafana/grafana/releases/tag/v5.1.5,False,False
v5.2.0-beta3,v5.2.0-beta3,2018-06-21T09:54:41Z,main,https://github.com/grafana/grafana/releases/tag/v5.2.0-beta3,False,True
v5.2.0-beta2,v5.2.0-beta2,2018-06-20T14:21:48Z,main,https://github.com/grafana/grafana/releases/tag/v5.2.0-beta2,False,True
v5.1.4,v5.1.4,2018-06-19T12:55:56Z,main,https://github.com/grafana/grafana/releases/tag/v5.1.4,False,False
v5.2.0-beta1,v5.2.0-beta1,2018-06-05T11:37:41Z,main,https://github.com/grafana/grafana/releases/tag/v5.2.0-beta1,False,True
v5.1.3,v5.1.3,2018-05-16T19:22:01Z,main,https://github.com/grafana/grafana/releases/tag/v5.1.3,False,False
v5.1.2,v5.1.2,2018-05-09T11:50:06Z,main,https://github.com/grafana/grafana/releases/tag/v5.1.2,False,False
v5.1.1,v5.1.1,2018-05-07T12:44:45Z,main,https://github.com/grafana/grafana/releases/tag/v5.1.1,False,False
v5.1.0,v5.1.0,2018-04-26T16:42:01Z,main,https://github.com/grafana/grafana/releases/tag/v5.1.0,False,False
v5.1.0-beta1,v5.1.0-beta1,2018-04-20T11:13:27Z,main,https://github.com/grafana/grafana/releases/tag/v5.1.0-beta1,False,True
v5.0.4,5.0.4,2018-03-28T13:13:49Z,main,https://github.com/grafana/grafana/releases/tag/v5.0.4,False,False
v5.0.3,5.0.3,2018-03-16T17:30:31Z,main,https://github.com/grafana/grafana/releases/tag/v5.0.3,False,False
v5.0.2,5.0.2,2018-03-14T16:02:12Z,main,https://github.com/grafana/grafana/releases/tag/v5.0.2,False,False
v5.0.1,V5.0.1,2018-03-08T10:03:25Z,main,https://github.com/grafana/grafana/releases/tag/v5.0.1,False,False
v5.0.0,v5.0.0,2018-03-01T07:58:49Z,main,https://github.com/grafana/grafana/releases/tag/v5.0.0,False,False
v5.0.0-beta5,v5.0.0-beta5,2018-02-26T10:09:18Z,main,https://github.com/grafana/grafana/releases/tag/v5.0.0-beta5,False,False
v5.0.0-beta4,v5.0.0-beta4,2018-02-19T14:45:15Z,main,https://github.com/grafana/grafana/releases/tag/v5.0.0-beta4,False,False
v5.0.0-beta3,v5.0.0-beta3,2018-02-16T13:50:35Z,main,https://github.com/grafana/grafana/releases/tag/v5.0.0-beta3,False,False
v5.0.0-beta2,v5.0.0-beta2,2018-02-15T13:51:13Z,main,https://github.com/grafana/grafana/releases/tag/v5.0.0-beta2,False,False
v5.0.0-beta1,v5.0.0-beta1,2018-02-05T15:33:54Z,main,https://github.com/grafana/grafana/releases/tag/v5.0.0-beta1,False,False
v4.6.3,v4.6.3,2017-12-14T10:34:33Z,main,https://github.com/grafana/grafana/releases/tag/v4.6.3,False,False
v4.6.2,V4.6.2,2017-11-16T10:11:12Z,main,https://github.com/grafana/grafana/releases/tag/v4.6.2,False,False
v4.6.1,v4.6.1,2017-11-01T11:29:47Z,main,https://github.com/grafana/grafana/releases/tag/v4.6.1,False,False
v4.6.0,v4.6.0,2017-10-27T07:38:44Z,main,https://github.com/grafana/grafana/releases/tag/v4.6.0,False,False
v4.6.0-beta3,v4.6.0-beta3,2017-10-23T14:28:08Z,main,https://github.com/grafana/grafana/releases/tag/v4.6.0-beta3,False,True
v4.6.0-beta2,v4.6.0-beta2,2017-10-17T11:49:03Z,main,https://github.com/grafana/grafana/releases/tag/v4.6.0-beta2,False,True
v4.6.0-beta1,v4.6.0-beta1,2017-10-13T11:08:16Z,main,https://github.com/grafana/grafana/releases/tag/v4.6.0-beta1,False,True
v4.5.2,v4.5.2,2017-09-22T12:09:06Z,main,https://github.com/grafana/grafana/releases/tag/v4.5.2,False,False
v4.5.1,v4.5.1,2017-09-15T09:33:26Z,main,https://github.com/grafana/grafana/releases/tag/v4.5.1,False,False
v4.5.0-beta1,v4.5.0-beta1,2017-09-05T13:15:09Z,main,https://github.com/grafana/grafana/releases/tag/v4.5.0-beta1,False,False
v4.4.3,v4.4.3,2017-08-07T11:41:11Z,main,https://github.com/grafana/grafana/releases/tag/v4.4.3,False,False
v4.4.2,v4.4.2,2017-08-01T08:20:52Z,main,https://github.com/grafana/grafana/releases/tag/v4.4.2,False,False
v4.4.1,v4.4.1,2017-07-05T08:19:59Z,main,https://github.com/grafana/grafana/releases/tag/v4.4.1,False,False
v4.4.0,v4.4.0,2017-07-04T23:30:46Z,main,https://github.com/grafana/grafana/releases/tag/v4.4.0,False,False
v4.3.2,v4.3.2,2017-05-31T12:06:21Z,main,https://github.com/grafana/grafana/releases/tag/v4.3.2,False,False
